code,wind_code,name,date,time,price,volume,turover,match_items,interest,trade_flag,bs_flag,accvolume,accturover,high,low,open,pre_close,ask10,ask9,ask8,ask7,ask6,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,bid6,bid7,bid8,bid9,bid10,asize10,asize9,asize8,asize7,asize6,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5,bsize6,bsize7,bsize8,bsize9,bsize10,ask_av_price,bid_av_price,total_ask_volume,total_bid_volume
300218,300218.SZ,安利股份,20160923,84830000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91503000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91512000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,261200,261200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8300,8300,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91521000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,260500,260500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8300,8300,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91557000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,261500,261500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,8800,8800,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91606000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17700,17700,600,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91718000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,18300,18300,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91727000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,18300,18300,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91803000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91821000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91830000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,259000,259000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6400,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91857000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,258900,258900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91906000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,265000,265000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38200,38200,462700,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91915000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,258900,258900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,18500,18500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,91933000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,260000,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27400,27400,481600,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,92003000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,258900,258900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,19500,19500,0,0,0,0,0,0,0,0,0,0,0,0,0
300218,300218.SZ,安利股份,20160923,92012000,0,0,0,0,0,0,32,0,0,0,0,0,256700,0,0,0,0,0,0,0,0,0,260000,260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28000,28000,449700,0,0,0,0,0,0,0,0,0,0,0,0
